Grenada,37.73,38.75,40.36,40.92,43.63,47.45,49.5,52.01,55.52,60.52,60.53,64.57,67.16,68.42,70.61,72.76,74.71,76.04,77.37,78.23,80.47,82.19,82.5,82.44,84.11,86.18,90.2,92.29,99.53,99.52,100,100.22,104.16,107.2,108.03,111.02,113.43,115.84
Guatemala,5.36,5.82,6.11,6.51,6.78,8.06,11.4,12.31,13.74,15.24,21.42,28.48,31,35.5,39.66,43.1,46.93,50.81,55.64,58.44,62.43,59.89,63.75,66.59,70.63,74.61,78.34,83.93,91.85,95.11,100,106.93,110.49,114.21,117.65,121.45,125.94,130.5
Guinea,15.35,15.1,18.34,22.97,27.58,32.49,4.02,5.12,6.23,7.62,8.93,11.24,14.19,14.28,14.49,15.35,15.59,15.81,16.33,17.03,18.1,18.41,18.49,21.44,24.98,31.82,63.84,72.53,84.64,86.14,100,109,121.55,126.83,130.13,134.01,143.57,160.9
Guinea-Bissau,0.04,0.05,0.05,0.07,0.1,0.14,0.29,0.57,1.03,2.05,2.67,4.48,7.39,11.01,13.57,19.65,27.35,36.69,39.66,44.54,80.57,86.02,87.57,83.18,82.02,86.78,84.81,88.52,99.57,97.12,100,114.03,113.06,112.01,111.84,125.38,133.02,140.93
Guyana,0.48,0.5,0.52,0.57,0.67,0.77,0.87,1.38,1.7,4.47,6.99,15.85,17.99,20.78,24.87,27.96,29.07,29.48,30.37,33.77,36,35.32,36.91,38.94,40.84,44.07,74.23,83.66,91.2,94.58,100,107.92,114.07,114.09,113.64,113.37,121.45,123.77
Haiti,8.74,9.91,10.69,11.37,12.56,13.87,15.49,7.69,4.9,4.67,5.88,5.15,3.27,4,12.86,18.13,19.19,21.63,24.69,26.43,29.35,32.77,36.04,45.74,55.58,65.34,74.97,81,91.45,94.83,100,107.51,113.19,120.66,126.1,134.77,150.89,171.05
Honduras,4.51,4.83,5.05,5.4,5.58,5.88,6.1,6.28,6.68,7.16,8.67,10.93,11.93,13.55,17.46,21.81,26.81,32.78,36.59,40.82,53.4,57.72,60.68,64.18,68.32,73.29,77.21,82.33,88.74,95.53,100,107.81,111.67,113.2,120.95,129.34,133.82,139.46
Hong Kong,34.04,37.65,41.29,43.2,47.36,49.9,51.78,56.24,61.19,68.88,74.09,80.86,88.86,96.52,102.62,106.86,113.15,119.67,121.13,116.17,112.23,110.23,106.48,100.09,96.49,96.35,95.83,98.84,100.11,99.73,100,103.9,107.58,109.53,112.65,116.76,118.69,122.17
Hungary,3.8,3.99,4.22,4.43,4.71,4.99,5.17,5.6,6.58,7.82,9.82,13.6,16.53,20.04,23.95,30.35,37.04,44.45,50.48,54.55,59.93,66.66,72.22,76.23,80.03,81.97,84.87,89.46,93.93,97.72,100,102.27,105.73,108.83,112.51,114.63,115.73,119.97
Iceland,29.98,29.7,26.69,23.53,23.4,23.6,29.7,37.85,41.91,38.83,43.77,46.86,49.7,43.08,42.72,47.57,47.43,49.54,51.88,53.7,55.85,60.7,64.27,64.59,66.31,68.02,73.72,76.9,86.02,94.81,100,102.97,106.35,108.35,112.76,119.57,122.1,122.69
India,11.72,12.99,14.04,15.24,16.45,17.63,18.83,20.59,22.28,24.16,26.74,30.42,33.15,36.41,40.05,43.68,46.99,50.03,54.04,55.7,57.73,59.58,61.8,64.19,67.86,70.74,75.28,79.61,86.51,91.76,100,108.54,117.15,124.4,128.54,131.21,135.75,139.82
Indonesia,2.75,3.03,3.27,3.88,4.29,4.55,4.66,5.4,5.81,6.37,6.94,7.55,8.1,9.66,10.41,11.44,12.43,13.99,24.52,27.99,33.72,38.54,40.81,43.05,46.73,53.43,60.96,67.82,80.13,86.76,100,107.47,111.5,117.04,123.41,128.32,131.5,137.08
Iran,0.35,0.44,0.46,0.54,0.65,0.68,0.76,0.92,1.1,1.29,1.58,1.99,2.58,3.77,5.04,6.96,9.07,10.56,11.54,15.38,19.21,22.41,28.96,32.74,40.81,49.04,56.19,69.08,82.5,86.29,100,123.74,153.46,208.04,230.59,231.58,235.3,254.36
Iraq,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.07,0.14,0.29,0.62,3.08,12.19,10.66,20.42,17.18,29.4,42.24,33.97,36.23,39.06,45.59,60.32,71.18,81.87,106.58,85.77,100,124.69,128.02,128.04,127.15,92.99,80.98,94.1
Ireland,30.52,35.84,41.28,45.71,48.62,51.14,54.49,55.69,57.5,60.67,60.23,61.32,63.04,66.3,67.43,69.47,70.78,73.93,78.9,82.25,87.84,93.42,97.96,101.71,102.27,105.16,108.32,109.75,108.78,103.33,100,99.63,101.69,102.75,102.34,109.79,109.81,109.47
Israel,24.84,25.3,26.49,28.75,26.67,23.87,28.94,32.37,38.58,38.82,42.28,45.4,46.91,45.57,48.47,59.26,65.36,71.1,76.01,80.75,83.03,84.57,88.1,88.06,88.49,89.49,91.27,92.34,94.58,98.26,100,102.4,106.46,108.85,109.98,112.45,113.4,113.57
Italy,20.19,23.99,28.2,32.45,35.95,39.24,42.18,44.72,47.69,50.65,55.16,59.34,61.94,64.34,66.62,69.9,73.09,74.99,76.89,78.13,79.67,82.05,84.8,87.5,89.7,91.4,93.13,95.4,97.77,99.68,100,101.47,102.87,104.12,105.11,106.1,107,107.67
Jamaica,0.69,0.74,0.81,0.94,1.28,1.65,2.09,2.32,2.6,2.92,3.65,5.25,8.4,12.84,16.83,21.07,25.05,27.46,30.36,32.46,35.9,38.7,42.22,47.12,53.18,59.28,64.53,71.83,81.57,91.07,100,105.77,112.72,122.18,130.75,139.4,145.81,155.95
Japan,94.57,97.33,99.03,99.97,101.44,102.72,104.38,104.21,104.86,107.07,109.86,113.08,114.97,115.62,115.93,115.31,114.73,115.31,115.26,113.75,112.18,110.94,109.32,107.55,106.37,105.27,104.34,103.57,102.56,101.93,100,98.33,97.58,97.25,98.95,101.07,101.34,101.13
Jordan,22.98,27.3,28.95,30.74,30.25,30.17,32.05,31.79,33.28,39.7,44.75,47.09,48.44,49.8,53.22,54.22,55.34,56.02,59.4,59.16,58.92,59.38,59.92,61.21,63.1,64.37,71.23,74.82,89.69,92.23,100,106.39,111.17,117.4,121.44,124.2,125.45,127.53
