,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID
4370,UEI-IMD-FL-2013-0098,20130607,20130607,1.0,heavy rains ,,Pune ,Maharastra,,,,,,2,,,"One woman along with her daughter swept away at Shindewadi, Katraj. ",,IMD,
4371,UEI-IMD-FL-2013-0099,20130609,20130609,1.0,heavy rains ,,Mumbai ,Maharastra,,,,,2,9,,,2 persons died in Bhandup and 9 others injured. ,i) Low lying areas flooded. ii) Trees/poles uprooted causing vehicular and traffic disruption. ,IMD,
4372,UEI-IMD-FL-2013-0100,20130616,20130618,3.0,heavy rains,,Pune and Thane,Maharastra,,,,,6,2,,,i) 3 women died due to wall collapse in Pune. ii) 3 labours died and 2 others injured in the landslide at Turbhe. ,i) Low lying areas flooded. ii) Trees/poles uprooted causing vehicular and traffic disruption. ,IMD,
4373,UEI-IMD-FL-2013-0101,20130622,20130628,7.0,flood ,,"Akola, Amaravati, Bhandara, Buldhana, Chandrapur, Gondia, Nagpur, Wardha,Washim and Yavatmal ",Maharastra,,,,,3,,,,3 persons died.,i) Extensive damage to the standing and paddy crops reported. ii) Bridges washed away and many huts submerged. iii) About 50 houses and 3 cattle sheds damaged. ,IMD,
4374,UEI-IMD-FL-2013-0102,20130703,20130703,1.0,heavy rains ,,Raigad and Ratnagiri ,Maharastra,,,,,5,1,,,5 persons died and other swept away. ,i) Low lying areas flooded. ii) Trees/poles uprooted causing vehicular and traffic disruption. ,IMD,
4375,UEI-IMD-FL-2013-0103,20130714,20130719,6.0,flood,,"Amaravati, Chandrapur, Gondia,Nagpur, Wardha, Washim and Yavatmal ",Maharastra,,,,,30,17,,1000,"i) About 30 persons died, 16 others drowned and one swept away. ii) About 1000 livestock perished. ","i) About 330 houses fully and 2000 kachcha houses partially damaged. ii) Extensive damage to the soyabean, cotton, tur, rice in thousands of hectares reported. iii) Many areas submerged. iv) Number of families shifted to safer places. ",IMD,
4376,UEI-IMD-FL-2013-0104,20130724,20130724,1.0,heavy rains ,,Buldhana ,Maharastra,,,,,,1,,,"One person swept away in Gundha village, Lonar tehsil. ",Damage to Kharif crops reported in some villages.,IMD,
4377,UEI-IMD-FL-2013-0105,20130801,20130803,3.0,heavy rains ,,"Amaravati, Chandrapur, Nagpur, Wardha and Yavatmal ",Maharastra,,,,,9,23,,,"9 persons died, 5 others swept away and 18 others injured. ","i) Low lying areas and crop land inundated. ii) Railway tracks, vehicles, roads inundated. iii) About 5.42 lakh hectares of land of standing crops washed away in Nagpur district. iv) About 2.5 lakh hectares of crops damaged in Chandrapur district. v) About 5000 houses damaged/collapsed. vi) Many places inundated and many families shifted to safer places. vii) Road traffic/ electricity/ telecommunication services disrupted. viii) More than hundreds of a cattle sheds damaged. ix) Estimated loss of about 100 crore rupees reported.    ",IMD,
4378,UEI-IMD-FL-2013-0106,20130919,20130919,1.0,heavy rains ,,Pune ,Maharastra,,,,,4,,,,4 persons died as a house collapsed in Yerawada area. ,Road traffic/ electricity/ telecommunication services disrupted.,IMD,
4379,UEI-IMD-FL-2013-0107,20130926,20130926,1.0,heavy rains,,Nandurbar ,Maharastra,,,,,8,,,,8 persons died and few others injured due to massive landslide,,IMD,
